Recording	Participant	TOI	Interval	AOI	Number_of_fixations	Time_to_first_fixation	Number_of_mouse_clicks	Time_to_first_mouse_click
Recording3	Participant1 Felix	Entire Recording	1	Sort by Communities	1	1321505	0	
Recording3	Participant1 Felix	Entire Recording	1	Sort by Posts	5	1318926	1	1329125
Recording4	Participant2 Doris	Entire Recording	1	Sort by Communities	3	1200910	1	1219317
Recording4	Participant2 Doris	Entire Recording	1	Sort by Posts	13	1201176	2	1205411
Recording5	Participant3 Ruihan	Entire Recording	1	Sort by Communities	23	1998993	1	2002865
Recording5	Participant3 Ruihan	Entire Recording	1	Sort by Posts	9	2001123	1	2024689
Recording6	Participant4 jay	Entire Recording	1	Sort by Communities	15	560746	3	563971
Recording6	Participant4 jay	Entire Recording	1	Sort by Posts	20	559282	5	581631
Recording7	Participant5 Pat	Entire Recording	1	Sort by Communities	0		1	488300
Recording7	Participant5 Pat	Entire Recording	1	Sort by Posts	4	474587	1	479454
